price_range,total_events,views,cart_adds,purchases,unique_users,unique_products,view_to_purchase_rate,cart_to_purchase_rate,cart_abandonment_rate,avg_price_in_range
Under $10,4259148,4059015,153573,46560,1058787,33517,1.15,30.32,0.00,6.45
$10-$24.99,9144428,8713586,325046,105796,1606433,37311,1.21,32.55,0.00,17.68
$25-$49.99,20566887,19429653,839782,297452,2653940,42186,1.53,35.42,0.00,37.35
$50-$99.99,27892175,26619227,919311,353637,3074971,47811,1.33,38.47,0.00,72.80
$100-$249.99,53431466,49839306,2586762,1005398,4574616,53191,2.02,38.87,0.00,165.71
$250-$499.99,32850090,31031499,1307716,510875,3669821,27004,1.65,39.07,0.00,351.23
$500-$999.99,20355323,19117443,880496,357384,2710662,13939,1.87,40.59,0.00,722.85
$1000+,8674220,8197941,331545,144734,1699338,6697,1.77,43.65,0.00,1444.75
