session_type,session_count,percentage_of_total,avg_events_per_session,avg_views,avg_cart_adds,avg_removes,avg_distinct_products,avg_distinct_categories,avg_session_duration_sec,avg_time_between_events_sec,avg_product_price
Purchase Sessions,2372739,6.15,8.4,5.8,1.5,0.0,3.0,1.4,714.7,95.5,298.72
Cart Sessions (No Purchase),2401652,6.22,9.2,7.6,1.6,0.0,4.0,1.6,968.9,137.2,284.18
High Engagement Sessions,6502274,16.85,12.9,12.9,0.0,0.0,8.3,2.4,2692.3,311.3,286.04
Low Engagement Sessions,12440893,32.24,3.0,3.0,0.0,0.0,2.2,1.3,2210.6,1376.7,314.36
Bounce Sessions,14874512,38.54,1.0,1.0,0.0,0.0,1.0,1.0,0.0,\N,307.43
